"Date","New_Loc","STSR","Depth","SST","Trip"
2014-08-25,"Joubertsdam",0,10.2,15,1
2014-08-25,"Joubertsdam",0,10,15,2
2014-08-26,"Joubertsdam",0,10.9,15.7,1
2014-08-30,"Joubertsdam",0,12,14.9,1
2014-08-30,"Joubertsdam",0,12,14.9,2
2014-08-31,"Joubertsdam",0,9,14.8,1
2014-08-31,"Joubertsdam",0,9,14.8,2
2014-08-31,"Joubertsdam",0,9.6,15.1,3
2014-09-01,"Joubertsdam",0,8,15.6,1
2014-09-01,"Joubertsdam",0,7.9,15.6,2
2014-09-02,"Joubertsdam",0,8,15.5,1
2014-09-02,"Joubertsdam",0,8,15.5,2
2014-09-03,"Joubertsdam",0,10.5,15.7,1
2014-09-04,"Joubertsdam",0,10.5,15.8,1
2014-09-05,"Joubertsdam",0,11.9,15.9,1
2014-09-07,"Joubertsdam",0,10.1,15.7,1
2014-09-08,"Joubertsdam",0,9.2,16,1
2014-09-08,"Joubertsdam",0,10.8,16,2
2014-09-09,"Joubertsdam",1,9.8,15.8,1
2014-09-09,"Joubertsdam",0,10.6,15.8,2
2014-09-10,"Joubertsdam",1,8.6,15.8,1
2014-09-10,"Joubertsdam",0,10.9,15.8,2
2014-09-11,"Joubertsdam",0,9.8,15.4,1
2014-09-11,"Joubertsdam",0,8.8,15.4,2
2014-09-12,"Joubertsdam",0,9.5,15.4,1
2014-09-12,"Joubertsdam",1,10.8,15.4,2
2014-09-13,"Joubertsdam",0,9.9,15.7,1
2014-09-13,"Joubertsdam",0,9.9,15.7,2
2014-09-14,"Joubertsdam",0,10.9,15.9,1
2014-09-14,"Joubertsdam",0,10.7,16.1,2
2014-09-15,"Joubertsdam",0,11.5,16,1
2014-09-15,"Joubertsdam",0,11.5,16,2
2014-09-16,"Joubertsdam",0,10.5,16.1,1
2014-09-16,"Joubertsdam",0,10.5,16.1,2
2014-09-17,"Joubertsdam",0,12.2,16.1,1
2014-09-17,"Joubertsdam",0,12.2,16.1,2
2014-09-20,"Joubertsdam",1,9.5,14.9,1
2014-09-20,"Joubertsdam",0,10.3,14.9,2
2014-09-20,"Joubertsdam",0,11,16,3
2014-09-21,"Joubertsdam",0,9.2,15.2,1
2014-09-21,"Joubertsdam",0,9.2,15.2,2
2014-09-22,"Joubertsdam",0,8.1,15.8,1
2014-09-22,"Joubertsdam",0,9.4,15.4,2
2014-09-23,"Joubertsdam",0,11.2,15.6,1
2014-09-23,"Joubertsdam",0,11.2,15.6,2
2014-09-24,"Joubertsdam",0,10.2,15.9,1
2014-09-25,"Joubertsdam",0,10.4,16,1
2014-09-25,"Joubertsdam",0,10.4,16,2
2014-09-26,"Joubertsdam",1,7.3,15.7,1
2014-09-26,"Joubertsdam",0,7.3,15.7,2
2014-09-27,"Joubertsdam",0,9.6,15.7,1
2014-09-27,"Joubertsdam",0,9.6,15.7,2
2014-09-28,"Joubertsdam",0,9.9,15.7,1
2014-09-28,"Joubertsdam",1,9.9,15.7,2
2014-09-29,"Joubertsdam",0,9.3,15.8,1
2014-09-29,"Joubertsdam",0,9.4,16,2
2014-09-30,"Joubertsdam",0,10.3,15.8,1
2014-09-30,"Joubertsdam",1,10.3,15.8,2
2014-10-01,"Joubertsdam",0,10.2,16.3,1
2014-10-01,"Joubertsdam",0,10.2,16.3,2
2014-10-02,"Joubertsdam",0,10.5,16,1
2014-10-02,"Joubertsdam",0,10.6,16.2,2
2014-10-03,"Joubertsdam",0,8.5,16.2,1
2014-10-03,"Joubertsdam",0,8.5,16.2,2
2014-10-04,"Joubertsdam",0,10,15.3,1
2014-10-04,"Joubertsdam",0,10,15.3,2
2014-10-04,"Joubertsdam",0,10,15.3,3
2014-10-05,"Joubertsdam",0,11.2,15.2,1
2014-10-05,"Joubertsdam",0,11.6,15.2,2
2014-10-06,"Joubertsdam",0,7.8,15.7,1
2014-10-06,"Joubertsdam",0,7.8,15.7,2
2014-10-07,"Joubertsdam",0,12,15.6,1
2014-10-07,"Joubertsdam",0,12,15.6,2
2014-10-09,"Joubertsdam",0,8.3,15.6,1
2014-10-09,"Joubertsdam",0,8.3,15.6,2
2014-10-09,"Joubertsdam",0,8.3,15.6,3
2014-10-11,"Joubertsdam",0,9.8,16.2,1
2014-10-11,"Joubertsdam",0,9.8,16.2,2
2014-10-12,"Joubertsdam",0,6.9,15.9,1
2014-10-12,"Joubertsdam",0,6.9,15.9,2
2014-10-13,"Joubertsdam",0,10.7,15.3,1
2014-10-13,"Joubertsdam",0,10.7,15.3,2
2014-10-22,"Joubertsdam",0,8.3,14.5,1
2014-10-22,"Joubertsdam",0,8.3,14.5,2
2014-10-30,"Joubertsdam",0,11.2,14.5,1
2014-11-02,"Joubertsdam",0,10.9,12.7,1
2014-11-03,"Joubertsdam",0,8.2,13.3,1
2014-11-03,"Joubertsdam",0,8.2,13.3,2
2014-11-04,"Joubertsdam",0,10.4,13.8,1
2014-11-05,"Joubertsdam",0,10.2,14.4,1
2014-11-05,"Joubertsdam",0,10.2,14.4,2
2014-11-06,"Joubertsdam",0,9.4,13.9,1
2014-11-06,"Joubertsdam",0,9.4,13.9,2
2014-11-07,"Joubertsdam",0,10,13,1
2014-11-07,"Joubertsdam",0,10,13,2
2014-11-08,"Joubertsdam",0,7.6,13.3,1
2014-11-08,"Joubertsdam",0,10,13.3,2
2014-11-09,"Joubertsdam",0,7,15.1,1
2014-11-09,"Joubertsdam",0,7,15.1,2
2014-11-11,"Joubertsdam",0,8.7,13.7,1
2014-11-11,"Joubertsdam",0,8.7,13.7,2
2014-11-12,"Joubertsdam",0,8,12.5,1
2014-11-13,"Joubertsdam",0,11.1,12.7,1
2014-11-14,"Joubertsdam",0,11,14.4,1
2014-11-16,"Joubertsdam",0,7,15,1
2014-11-16,"Joubertsdam",0,7,15,2
2014-11-17,"Joubertsdam",0,10.7,15.2,1
2014-11-17,"Joubertsdam",0,10.7,15.2,2
2014-11-18,"Joubertsdam",0,7.8,15.3,1
2014-11-18,"Joubertsdam",0,8.5,15.6,2
2014-11-19,"Joubertsdam",0,10.5,15.5,1
2014-11-19,"Joubertsdam",0,12,16.3,2
2014-11-20,"Joubertsdam",0,9,15,1
2014-11-20,"Joubertsdam",0,9,15,2
2014-11-21,"Joubertsdam",0,9,16.1,1
2014-11-21,"Joubertsdam",0,9.5,15,2
2014-01-22,"Joubertsdam",0,NA,15,2
2014-11-22,"Joubertsdam",0,NA,15,1
2014-11-23,"Joubertsdam",0,8,15.4,1
2014-11-23,"Joubertsdam",0,8,15.4,2
2014-11-24,"Joubertsdam",0,9.1,14,1
2014-11-24,"Joubertsdam",0,9,14.6,2
2014-11-25,"Joubertsdam",0,9.4,12.2,1
2014-11-25,"Joubertsdam",0,8.4,12.7,2
2014-11-26,"Joubertsdam",0,8.5,12.5,1
2014-11-26,"Joubertsdam",0,8.1,13.4,2
2014-11-27,"Joubertsdam",0,8,13.5,1
2014-11-27,"Joubertsdam",0,8,14,2
2014-11-28,"Joubertsdam",0,11.4,15.1,1
2014-11-28,"Joubertsdam",0,8,15.9,2
2014-11-29,"Joubertsdam",0,9,15,1
2014-11-29,"Joubertsdam",0,11.4,15.8,2
2014-11-30,"Joubertsdam",0,10,16.4,1
2014-11-30,"Joubertsdam",0,10,16.4,2
2014-12-01,"Joubertsdam",0,10.2,16.8,1
2014-12-01,"Joubertsdam",0,8.2,18.8,2
2014-12-02,"Joubertsdam",0,7,15.8,1
2014-12-03,"Joubertsdam",0,9.5,13.7,1
2014-12-04,"Joubertsdam",0,10.9,13.4,1
2014-12-04,"Joubertsdam",0,12.1,12.2,2
2014-12-05,"Joubertsdam",0,8.2,12.5,1
2014-12-05,"Joubertsdam",0,8.2,12.5,2
2014-12-06,"Joubertsdam",0,8,13,1
